track_name,artist,album,release_date,duration,popularity,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
FEEL,IZCO,TEK 5,2018-11-16,217058,36,False,2,0.725,0.128,0,-13.729,0,0.187,0.44,0.281,0.149,0.353,136.44,spotify:track:6NjKZDQtEuMySYu4yaZWVA
Can't Get Enough (feat. Rachel Chinouriri & Venna),p-rallel,Can't Get Enough (feat. Rachel Chinouriri & Venna),2022-03-23,197277,43,False,1,0.744,0.559,9,-9.848,0,0.137,0.2,0.0349,0.142,0.463,120.008,spotify:track:7JqYAc8ACWC32Qc6JiQSSi
Believe (feat. Fredwave & Jeshi),p-rallel,Believe (feat. Fredwave & Jeshi),2021-10-29,208439,40,False,1,0.736,0.612,1,-9.645,1,0.104,0.028,0.119,0.138,0.038,124.011,spotify:track:2DLxohwNmcbWktWGVG0dN7
To The Floor,Lil Silva,To The Floor,2022-07-11,189422,29,False,1,0.692,0.672,6,-10.48,0,0.0403,0.0395,0.924,0.0939,0.441,114.008,spotify:track:7huFrzl3tBNxSr8tp6zyDf
Akasha,Nanna.B,Akasha,2022-12-02,232988,15,False,1,0.69,0.56,9,-10.666,1,0.0501,0.306,0.114,0.0773,0.537,139.985,spotify:track:6PbMqf275SPRUxz0LmDe4A
THE zone~,Lil Yachty,Let’s Start Here.,2023-01-27,249685,54,False,6,0.538,0.681,6,-5.603,1,0.0315,0.0122,0.197,0.557,0.462,81.982,spotify:track:2alpVcC9RxRWS1eSMGeAAP
drive ME crazy!,Lil Yachty,Let’s Start Here.,2023-01-27,229804,75,True,8,0.497,0.825,10,-3.621,0,0.0925,0.172,0.00319,0.377,0.44,107.073,spotify:track:6luBKkFUt5wTwz7hpLhp12
Feel Good,slowthai,Feel Good,2023-02-07,124768,38,False,1,0.594,0.893,11,-6.387,0,0.0509,6.29e-05,0.000215,0.185,0.567,156.045,spotify:track:37Q6kTk6hb3nqMCo6KaFln
Cinamin,Calibre,Cinamin / Samba,2023-02-10,451595,8,False,1,0.799,0.833,1,-16.537,0,0.0426,0.0979,0.901,0.0713,0.272,120.995,spotify:track:1GeMq72a04fpuTH1taLqI8
Angel Number 909 - Acidhouse Mix,Mr. Ho,Angel Number 909,2023-02-10,311809,27,False,2,0.775,0.97,11,-8.995,1,0.0628,0.0154,0.884,0.0584,0.967,124.012,spotify:track:7KinsrCi8YFBqp1ZNbJHU6
The Dark Past,St. David,BND Project Vol 3,2022-12-09,391000,14,False,2,0.803,0.95,11,-7.679,0,0.0583,0.00837,0.694,0.0356,0.394,123.98,spotify:track:6WTISkeuw3zeBri5txyi4s
Samba,Calibre,Cinamin / Samba,2023-02-10,443358,9,False,2,0.798,0.408,7,-13.858,1,0.0534,0.0309,0.815,0.0672,0.294,120.007,spotify:track:7tAPVwNmSX5BlHPKU0weAm
Away With Me - Calibre Remix,SpectraSoul,Away With Me,2012-06-17,314269,29,False,3,0.708,0.726,1,-6.054,1,0.071,0.114,0.51,0.104,0.315,173.998,spotify:track:1yYgKlP0pPmGU6Aa5GwAVZ
Even If - Original Mix,Calibre,Even If,2010-11-22,454252,43,False,2,0.459,0.803,7,-8.369,0,0.0438,0.00166,0.522,0.471,0.481,174.991,spotify:track:5nVkaIXaqQtoMX4V1jncdO
I Remember,DRS,I Remember,2023-02-10,345962,24,False,1,0.778,0.662,7,-6.838,1,0.0889,0.0154,0.327,0.0539,0.429,86.508,spotify:track:50XoRFlGUmOq3awHidb9cB
C U R R E N T,Photay,An Offering,2022-10-14,215640,14,False,2,0.222,0.237,2,-14.306,1,0.0368,0.965,0.814,0.0878,0.0778,119.795,spotify:track:7z0f6k5GxatS3T8AioPAkx
Тизита,СОЮЗ,II,2019-05-14,205830,32,True,2,0.494,0.567,5,-11.212,1,0.0278,0.0938,0.882,0.0969,0.888,165.972,spotify:track:2t5KqrNQYrrJBtH3jB4IDZ
Back to you,alici,Back to you,2022-08-05,248250,30,False,1,0.721,0.403,1,-12.091,1,0.0377,0.162,0.408,0.111,0.707,125.923,spotify:track:5JIktP5Tdr1Azs6xAQGssi
Andromeda,Ethel,Andromeda,2022-05-06,123000,0,False,1,0.632,0.615,11,-5.426,1,0.162,0.531,0.0536,0.111,0.507,82.924,spotify:track:7G4KKZXXXwm7HCWTwTLuXU
You Can Be A Star,Luther Davis,Soul Cal,2012-03-27,277000,31,False,1,0.73,0.641,9,-6.16,0,0.0646,0.409,0.00323,0.208,0.802,130.559,spotify:track:4TdV9OY8ijccLcCvxOEU3C
First Light,Ill Considered,Liminal Space,2021-09-10,456653,21,False,1,0.313,0.793,4,-7.431,0,0.0592,0.0367,0.876,0.101,0.539,115.159,spotify:track:7g49aCQEGFGVoNgbS0dik0
Mercury Comet Caliente,Pearl & The Oysters,Canned Music,2018-11-23,158880,0,False,12,0.664,0.412,2,-9.393,0,0.0273,0.648,0.167,0.129,0.374,123.025,spotify:track:2NVeUXTBQ4jnB1ZLNWePwG
Konami,Pearl & The Oysters,Konami,2023-01-31,168786,3,False,1,0.574,0.854,5,-8.312,0,0.0858,0.0199,0.00559,0.18,0.821,173.963,spotify:track:4CJ4WBeEZZVFulKVS6zmqz
Give It All Your Heart,Herbie Hancock,Lite Me Up,1982,460533,18,False,8,0.693,0.504,9,-13.289,1,0.036,0.422,0.0566,0.129,0.927,75.841,spotify:track:1XQMTmRJKK5f8edvdfjhLK
Falling,slowthai,UGLY,2023-03-03,173422,34,True,9,0.298,0.497,2,-6.051,1,0.0346,0.00784,9.8e-06,0.124,0.0911,74.593,spotify:track:2EOZ0kckiYOHzTztbntsPi
Tourniquet,slowthai,UGLY,2023-03-03,227222,34,True,11,0.549,0.473,4,-7.212,1,0.0358,0.141,0.0,0.17,0.0814,125.14,spotify:track:5oPXAqiD2pW56kD7Lqjq7D
Memory,Tara Clerkin Trio,In Spring,2021-10-01,276030,11,False,3,0.359,0.106,5,-23.977,0,0.033,0.958,0.771,0.0905,0.113,60.307,spotify:track:3lQCXHcv86ECT9JPlVCeij
